taxon	min	max
Ctenocystis_utahensis	7.3	7.3
Gyrocystis_platessa	5.6	5.6
Gyrocystis_testudiformis	3.8	3.8
Gyrocystis_cruzae	3.8	3.8
Gyrocystis_badulesiensis	3.8	3.8
Gyrocystis_erecta	2.3	2.3
Progyrocystis_disjuncta	3.8	3.8
Protocinctus_mansillaensis	7.3	7.3
Elliptocinctus_barrandei	2.3	2.3
Elliptocinctus_vizcainoi	5.2	5.2
Sucocystis_theronensis	2.3	2.3
Sucocystis_bretoni	1.7	1.7
Lignanicystis_barriosensis	2.3	2.3
Undatacinctus_undata	1.7	1.7
Sucocystis_acrofera	0.0	0.0
Undatacinctus_quadricornuta	1.7	1.7
Undatacinctus_melendezi	1.2	1.2
Asturicystis_jaekeli	5.6	5.6
Sotocinctus_ubaghsi	6.1	6.1
Trochocystites_bohemicus	5.9	5.9
Trochocystoides_parvus	5.2	5.2
Ludwigicinctus_truncatus	2.3	2.3
Graciacystis_ambigua	5.6	5.6
Asturicystis_havliceki	5.9	5.9
Nelegerocystis_ivantzovi	6.1	6.1
Rozanovicystis_triangularis	6.1	6.1
Davidocinctus_pembrokensis	5.2	5.2
